FirstName,Phone,Notes
Alice,+1234567890,Follow up next week
Bob,+1987654321,Interested in premium plan
Charlie,+1122334455,Requires demo
Diana,+1223344556,Send proposal
Ethan,+1445566778,Call after 3 PM
Alice,+1234567001,Follow up next week
Bob,+1234567002,Interested in premium plan
Charlie,+1234567003,Requires demo
Diana,+1234567004,Send proposal
Ethan,+1234567005,Call after 3 PM
Fiona,+1234567006,Check eligibility
George,+1234567007,Needs onboarding
Hannah,+1234567008,Send welcome email
Ian,+1234567009,Schedule training
Jack,+1234567010,Follow up after meeting
Karen,+1234567011,Interested in upgrade
Leo,+1234567012,Request product demo
Mia,+1234567013,Call regarding invoice
Nina,+1234567014,Send contract
Oscar,+1234567015,Check feedback
Paul,+1234567016,Needs support ticket
Quinn,+1234567017,Schedule callback
Rachel,+1234567018,Follow up on query
Sam,+1234567019,Send brochure
Tina,+1234567020,Confirm meeting
Uma,+1234567021,Interested in trial
Victor,+1234567022,Send invoice
Wendy,+1234567023,Follow up on request
Xander,+1234567024,Confirm subscription
Yara,+1234567025,Check onboarding status
Zane,+1234567026,Requires additional info
Amy,+1234567027,Schedule follow-up call
Brian,+1234567028,Send product catalog
Cathy,+1234567029,Check payment status
David,+1234567030,Confirm attendance
Ella,+1234567031,Interested in premium features
Frank,+1234567032,Send welcome kit
Grace,+1234567033,Follow up on trial
Harry,+1234567034,Check feedback form
Ivy,+1234567035,Schedule product demo
Jason,+1234567036,Call regarding subscription
Kelly,+1234567037,Confirm contract
Liam,+1234567038,Send invoice reminder
Mona,+1234567039,Interested in upgrade
Nora,+1234567040,Check onboarding materials

